１）男性の統計量,,,,,,,,,,,２）女性の統計量,,,,,,,,,
ID,,N,平均値,S.D.,最小値,最大値,中央値,歪度,尖度,,ID,,N,平均値,S.D.,最小値,最大値,中央値,歪度,尖度
D12,手厚：第１中手骨底,327,34.5,2.6,27.7,43.4,34.5,0.238,0.262,,D12,手厚：第１中手骨底,203,30.1,2.2,24.0,38.1,29.97,0.639,1.419
D13,手厚：第２中手骨頭,327,27.6,1.5,23.7,31.8,27.6,0.083,-0.163,,D13,手厚：第２中手骨頭,203,24.6,1.3,21.4,29.5,24.55,0.462,0.673
D14,手厚：第５中手骨頭,327,26.0,1.8,21.1,33.0,25.8,0.532,0.423,,D14,手厚：第５中手骨頭,203,22.2,1.3,19.3,27.5,22.18,0.856,1.846
D15,手厚：第５中手骨底,327,37.5,2.8,30.3,47.5,37.5,0.116,-0.008,,D15,手厚：第５中手骨底,203,31.4,2.2,25.5,38.9,31.59,0.281,0.792
D16,手首厚,327,40.6,2.4,33.8,46.9,40.5,0.184,-0.257,,D16,手首厚,203,35.7,2.0,31.3,43.2,35.52,0.796,1.771
C01,手囲,327,202.5,8.8,181.0,229.0,203.0,0.189,0.367,,C01,手囲,202,179.1,7.2,162.0,201.0,179,0.149,-0.217
C02,第１指関節囲,327,64.5,3.5,55.0,75.0,64.5,0.283,0.116,,C02,第１指関節囲,203,57.2,2.6,51.0,64.0,57,0.154,-0.314
C03,第２指近位関節囲,327,61.6,3.3,53.0,71.5,62.0,0.187,0.122,,C03,第２指近位関節囲,203,54.9,2.5,49.5,63.0,55,0.197,-0.181
C04,第３指近位関節囲,327,63.0,3.1,55.0,73.0,63.0,0.225,0.051,,C04,第３指近位関節囲,203,56.2,2.4,50.0,63.0,56,-0.093,-0.294
C05,第４指近位関節囲,327,59.1,3.2,52.0,71.0,59.0,0.366,0.480,,C05,第４指近位関節囲,203,52.9,2.4,47.0,59.5,53,0.175,-0.339
C06,第５指近位関節囲,327,51.9,3.0,44.5,63.0,52.0,0.411,0.467,,C06,第５指近位関節囲,203,46.0,2.2,41.0,51.5,46,0.221,-0.447
N01,第１指爪長さ,327,15.7,1.3,11.8,19.4,15.7,-0.199,0.277,,N01,第１指爪長さ,203,14.4,1.5,10.6,24.6,14.39,1.477,10.048
N02,第２指爪長さ,327,14.2,1.3,10.4,18.4,14.2,0.171,0.335,,N02,第２指爪長さ,203,12.7,1.2,8.3,15.6,12.68,-0.044,0.590
N03,第３指爪長さ,327,15.1,1.3,11.1,18.6,15.1,-0.104,0.567,,N03,第３指爪長さ,203,13.5,1.1,10.3,16.4,13.5,-0.061,-0.213
N04,第４指爪長さ,327,15.2,1.3,10.9,19.2,15.3,0.114,0.469,,N04,第４指爪長さ,203,13.5,1.2,10.6,16.3,13.42,-0.069,-0.506
N05,第５指爪長さ,327,12.5,1.2,9.2,16.0,12.5,0.075,0.329,,N05,第５指爪長さ,203,11.1,1.1,7.9,13.8,11.03,-0.088,0.159
N06,第１指爪幅,325,14.7,1.0,12.2,17.6,14.7,0.239,-0.328,,N06,第１指爪幅,142,12.5,0.9,10.5,14.9,12.385,0.390,-0.045
N07,第２指爪幅,325,10.9,0.8,8.5,13.6,10.8,0.195,0.014,,N07,第２指爪幅,142,9.3,0.6,7.3,11.4,9.35,0.040,0.804
N08,第３指爪幅,325,11.5,0.9,9.5,13.8,11.4,0.408,-0.151,,N08,第３指爪幅,142,9.8,0.7,7.8,12.2,9.71,0.371,0.507
N09,第４指爪幅,325,10.7,0.9,8.4,13.9,10.6,0.491,0.297,,N09,第４指爪幅,142,8.9,0.7,7.3,11.0,8.855,0.552,0.839
N10,第５指爪幅,325,8.5,0.7,6.7,11.1,8.4,0.479,0.649,,N10,第５指爪幅,142,7.2,0.5,5.7,8.7,7.13,0.305,0.209
N11,第１指爪中央指幅,327,17.4,1.3,13.8,21.3,17.4,0.155,0.075,,N11,第１指爪中央指幅,203,15.3,1.0,12.9,18.1,15.33,0.221,-0.442
N12,第２指爪中央指幅,327,13.9,1.0,11.4,17.1,14.0,0.067,-0.098,,N12,第２指爪中央指幅,203,12.4,0.9,10.4,14.4,12.42,-0.053,-0.617
N13,第３指爪中央指幅,327,15.1,1.1,11.7,18.6,15.1,-0.009,0.535,,N13,第３指爪中央指幅,203,13.3,0.9,10.7,15.4,13.24,-0.050,-0.518
N14,第４指爪中央指幅,327,14.5,1.0,11.8,17.7,14.6,0.146,0.114,,N14,第４指爪中央指幅,203,12.6,0.9,10.2,14.6,12.68,-0.098,-0.333
N15,第５指爪中央指幅,327,12.0,1.0,9.5,15.3,11.9,0.507,0.682,,N15,第５指爪中央指幅,203,10.4,0.8,8.3,12.5,10.3,0.066,-0.208
